doc_id,prioridade,tipo,periodo,lingua,titulo_no_resultado,nome_ficheiro_original,url,emissor,encontrado_via,data_consulta,sha256,paginas,estado,notas
SBA_RC_2025_PT,1,relatorio_e_contas_anual,FY2025,pt,RELATÓRIO ANUAL,SBA_RelatorioContas_31_2_2025_light.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Relacao%20com%20investidores/Informa%C3%A7%C3%A3o%20financeira/Relatorio%20e%20Contas%202026/Anual/2025/SBA_RelatorioContas_31_2_2025_light.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,"Nome diz '31_2_2025' e 'light'. O rascunho KR-001 (Drive, 21/09) cita páginas até à 351 de um 'Relatório Anual 2025, contas consolidadas': o Uziel tem a versão completa localmente, mas não está no Drive. Confirmar se é o mesmo ficheiro deste URL"
SBA_RC_2025_EN,2,relatorio_e_contas_anual,FY2025,en,annual - report,SBA Relatório e Contas 31.12.2025_EN.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Relacao%20com%20investidores/Informa%C3%A7%C3%A3o%20financeira/Relatorio%20e%20Contas%202026/Anual/2025/en/SBA%20Relat%C3%B3rio%20e%20Contas%2031.12.2025_EN.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,Versão inglesa; só para controlo cruzado. A fonte primária é a portuguesa
SBA_PROSPECTO_OPV_2026,1,prospecto_opv,2026,pt,,,,Standard Bank de Angola / IGAPE / CMC,pesquisa web,2026-09-26,,,por_encontrar,"Prospecto aprovado pela CMC a 31/08/2026 e datado de 04/09/2026 (segundo a imprensa, [NV]). Procurar em cmc.ao, standardbank.co.ao/angola/pt/OPV e standardinvest.co.ao"
SBA_ANUNCIO_OPV_2026,2,anuncio_lancamento_opv,2026,pt,,,,Standard Bank de Angola / IGAPE,pesquisa web,2026-09-26,,,por_encontrar,Anúncio de lançamento da oferta (04/09/2026 segundo a imprensa [NV])
SBA_RC_2024_PT,2,relatorio_e_contas_anual,FY2024,pt,Relatório Anual,SBA Relatorio e Contas 2024 Anual.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Sobre%20Nos/Informa%C3%A7%C3%A3o%20Financeira/Relatorio%20e%20Contas/2024/SBA%20Relatorio%20e%20Contas%202024%20Anual.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,Comparativo e controlo de reexpressões do FY2024 no R&C 2025
SBA_RC_2023_PT,3,relatorio_e_contas_anual,FY2023,pt,Relatório & Contas,Relatorio e Contas Standard Bank Angola Dezembro 2023 SBAO.pdf,https://www.standardbank.co.ao/static_file/Angola/Common%20Content/relatorio%20e%20contas/2024/Relatorio%20e%20Contas%20Standard%20Bank%20Angola%20Dezembro%202023%20SBAO.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,Série histórica
SBA_RC_H1_2025_PT,3,relatorio_e_contas_semestral,H1 2025,pt,RELATÓRIO SEMESTRAL,R&C Consolidado SBA_Junho 2025 lw.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Sobre%20Nos/Informa%C3%A7%C3%A3o%20Financeira/Relatorio%20e%20Contas/Semestrais/R&C%20Consolidado%20SBA_Junho%202025%20lw.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,Diz 'Consolidado': confirmar perímetro (individual vs consolidado) face ao R&C anual
SBA_RC_H1_2024_PT,4,relatorio_e_contas_semestral,H1 2024,pt,Relatório Semestral 2024,RelatorioeContas_SBA_ Junho_2024.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Sobre%20Nos/Informa%C3%A7%C3%A3o%20Financeira/Relatorio%20e%20Contas/Semestrais/RelatorioeContas_SBA_%20Junho_2024.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,Há um segundo URL com o mesmo período: .../Relatorio%20e%20Contas/2024/Relatorio%20e%20Contas%20SBA%20Junho%202024.pdf. Comparar sha256 depois de descarregar
SBA_RC_H1_2026_PT,2,relatorio_e_contas_semestral,H1 2026,pt,,,,Standard Bank de Angola,pesquisa web,2026-09-26,,,por_encontrar,Não apareceu na pesquisa. Útil para a peça se já estiver publicado
SBA_PROSPECTO_BASE,4,prospecto_base,?,pt,STANDARD BANK DE ANGOLA; SA,Prospecto de base assinado.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Sobre%20N%C3%83%C2%B3s/Rela%C3%83%C2%A7%C3%83%C2%A3o%20com%20os%20Investidores/Prospecto%20de%20base%20assinado.pdf,Standard Bank de Angola,pesquisa web,2026-09-26,,,url_encontrado,"[I] Parece ser um prospecto de base de um programa de emissão (dívida), não o prospecto da OPV. Confirmar antes de usar"
SBA_DISCIPLINA_MERCADO_2024,3,relatorio_disciplina_mercado,FY2024,pt,SBA_Relatório de Disciplina de Mercado 2024,_static_file_Angola_Home_Sobre%20Nos_Informação%20Financeira_docs_MAIO2025_SBA_Relatório%20de%20Disciplina%20de%20Mercado%202024.pdf,https://www.standardbank.co.ao/static_file/Angola/Home/Sobre%20Nos/Informa%C3%A7%C3%A3o%20Financeira/docs/MAIO2025/SBA_Relat%C3%B3rio%20de%20Disciplina%20de%20Mercado%202024.pdf,Standard Bank de Angola,Google Drive do Uziel (id 1xCmK1pRIPFbLScwuRfuT-iZyzru7kRrm),2026-09-26,,,descarregado_drive,"URL reconstruído a partir do nome do ficheiro no Drive [I]: confirmar. Capital, liquidez e risco (Pilar 3). sha256 por calcular"
