afirmacao_no_rascunho,valor_como_escrito,unidade,periodo,perimetro,paginas_citadas,estado,notas
Lucro líquido,"150,1",mil milhões Kz,FY2025,consolidado,243,a_reverificar,
Lucro líquido,"124,8",mil milhões Kz,FY2024,consolidado,243,a_reverificar,Comparativo; confirmar se é reexpresso
Juros recebidos,"226,9",mil milhões Kz,FY2025,consolidado,"99, 243",a_reverificar,
Juros pagos,"-22,8",mil milhões Kz,FY2025,consolidado,"99, 243",a_reverificar,
Margem financeira,"204,1",mil milhões Kz,FY2025,consolidado,"99, 243",a_reverificar,
Outras receitas líquidas,"96,1",mil milhões Kz,FY2025,consolidado,243,a_reverificar,Agregado do rascunho (não é rubrica impressa?)
Produto bancário,"300,2",mil milhões Kz,FY2025,consolidado,243,a_reverificar,
Resultados cambiais,"69,2",mil milhões Kz,FY2025,consolidado,243,a_reverificar,
Comissões líquidas,"33,0",mil milhões Kz,FY2025,consolidado,243,a_reverificar,
Resultados de títulos,"1,1",mil milhões Kz,FY2025,consolidado,243,a_reverificar,
Outros resultados de exploração,"-7,2",mil milhões Kz,FY2025,consolidado,243,a_reverificar,
Custos operacionais,"100,1",mil milhões Kz,FY2025,consolidado,"13, 243",a_reverificar,Pessoal + FSE + amortizações segundo o rascunho
Imparidades,"13,2",mil milhões Kz,FY2025,consolidado,"13, 243",a_reverificar,Rascunho diz '4 vezes o valor de 2024'
Ativo total,2.275,mil milhões Kz,FY2025,consolidado,"13, 242",a_reverificar,
Clientes,235.969,n.º,FY2025,consolidado,13,a_reverificar,Rascunho diz '+18% face a 2024'
Peso do segmento Grandes Empresas e Banca de Investimento no resultado antes de impostos,81,%,FY2025,consolidado,351,a_reverificar,
ROE,"32 / 47 / 44",%,FY2023 / FY2024 / FY2025,consolidado,"13, 98",a_reverificar,Indicador do banco ou calculado? Fórmula é decisão do board
